"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate
	"Alaska"	"02"	"1999"	"1999"	"Suicide"	"2"	55	624779	8.8
	"Alaska"	"02"	"1999"	"1999"	"Homicide"	"3"	27	624779	4.3
	"Alaska"	"02"	"2000"	"2000"	"Suicide"	"2"	96	626932	15.3
	"Alaska"	"02"	"2000"	"2000"	"Homicide"	"3"	16	626932	2.6 (Unreliable)
	"Alaska"	"02"	"2001"	"2001"	"Suicide"	"2"	65	633714	10.3
	"Alaska"	"02"	"2001"	"2001"	"Homicide"	"3"	25	633714	3.9
	"Alaska"	"02"	"2002"	"2002"	"Suicide"	"2"	92	642337	14.3
	"Alaska"	"02"	"2002"	"2002"	"Homicide"	"3"	26	642337	4.0
	"Alaska"	"02"	"2003"	"2003"	"Suicide"	"2"	79	648414	12.2
	"Alaska"	"02"	"2003"	"2003"	"Homicide"	"3"	32	648414	4.9
	"Alaska"	"02"	"2004"	"2004"	"Suicide"	"2"	94	659286	14.3
	"Alaska"	"02"	"2004"	"2004"	"Homicide"	"3"	20	659286	3.0
	"Alaska"	"02"	"2005"	"2005"	"Suicide"	"2"	87	666946	13.0
	"Alaska"	"02"	"2005"	"2005"	"Homicide"	"3"	24	666946	3.6
	"Alaska"	"02"	"2006"	"2006"	"Suicide"	"2"	79	675302	11.7
	"Alaska"	"02"	"2006"	"2006"	"Homicide"	"3"	28	675302	4.1
	"Alaska"	"02"	"2007"	"2007"	"Suicide"	"2"	94	680300	13.8
	"Alaska"	"02"	"2007"	"2007"	"Homicide"	"3"	25	680300	3.7
	"Alaska"	"02"	"2008"	"2008"	"Suicide"	"2"	116	687455	16.9
	"Alaska"	"02"	"2008"	"2008"	"Homicide"	"3"	15	687455	2.2 (Unreliable)
	"Alaska"	"02"	"2009"	"2009"	"Suicide"	"2"	79	698895	11.3
	"Alaska"	"02"	"2009"	"2009"	"Homicide"	"3"	17	698895	2.4 (Unreliable)
	"Alaska"	"02"	"2010"	"2010"	"Suicide"	"2"	107	710231	15.1
	"Alaska"	"02"	"2010"	"2010"	"Homicide"	"3"	30	710231	4.2
	"Alaska"	"02"	"2011"	"2011"	"Suicide"	"2"	99	722713	13.7
	"Alaska"	"02"	"2011"	"2011"	"Homicide"	"3"	19	722713	2.6 (Unreliable)
	"Alaska"	"02"	"2012"	"2012"	"Suicide"	"2"	98	731089	13.4
	"Alaska"	"02"	"2012"	"2012"	"Homicide"	"3"	17	731089	2.3 (Unreliable)
	"Alaska"	"02"	"2013"	"2013"	"Suicide"	"2"	120	736879	16.3
	"Alaska"	"02"	"2013"	"2013"	"Homicide"	"3"	19	736879	2.6 (Unreliable)
	"Alaska"	"02"	"2014"	"2014"	"Suicide"	"2"	115	736705	15.6
	"Alaska"	"02"	"2014"	"2014"	"Homicide"	"3"	21	736705	2.9
	"Alaska"	"02"	"2015"	"2015"	"Suicide"	"2"	123	737709	16.7
	"Alaska"	"02"	"2015"	"2015"	"Homicide"	"3"	42	737709	5.7
	"Alaska"	"02"	"2016"	"2016"	"Suicide"	"2"	113	741894	15.2
	"Alaska"	"02"	"2016"	"2016"	"Homicide"	"3"	45	741894	6.1
	"Arizona"	"04"	"1999"	"1999"	"Unintentional"	"1"	17	5023823	0.3 (Unreliable)
	"Arizona"	"04"	"1999"	"1999"	"Suicide"	"2"	476	5023823	9.5
	"Arizona"	"04"	"1999"	"1999"	"Homicide"	"3"	303	5023823	6.0
	"Arizona"	"04"	"2000"	"2000"	"Unintentional"	"1"	14	5130632	0.3 (Unreliable)
	"Arizona"	"04"	"2000"	"2000"	"Suicide"	"2"	489	5130632	9.5
	"Arizona"	"04"	"2000"	"2000"	"Homicide"	"3"	274	5130632	5.3
	"Arizona"	"04"	"2000"	"2000"	"Undetermined "	"4"	11	5130632	0.2 (Unreliable)
	"Arizona"	"04"	"2001"	"2001"	"Unintentional"	"1"	16	5273477	0.3 (Unreliable)
	"Arizona"	"04"	"2001"	"2001"	"Suicide"	"2"	468	5273477	8.9
	"Arizona"	"04"	"2001"	"2001"	"Homicide"	"3"	332	5273477	6.3
	"Arizona"	"04"	"2001"	"2001"	"Undetermined "	"4"	13	5273477	0.2 (Unreliable)
	"Arizona"	"04"	"2002"	"2002"	"Unintentional"	"1"	25	5396255	0.5
	"Arizona"	"04"	"2002"	"2002"	"Suicide"	"2"	559	5396255	10.4
	"Arizona"	"04"	"2002"	"2002"	"Homicide"	"3"	355	5396255	6.6
	"Arizona"	"04"	"2002"	"2002"	"Undetermined "	"4"	14	5396255	0.3 (Unreliable)
	"Arizona"	"04"	"2003"	"2003"	"Unintentional"	"1"	12	5510364	0.2 (Unreliable)
	"Arizona"	"04"	"2003"	"2003"	"Suicide"	"2"	486	5510364	8.8
	"Arizona"	"04"	"2003"	"2003"	"Homicide"	"3"	324	5510364	5.9
	"Arizona"	"04"	"2003"	"2003"	"Undetermined "	"4"	15	5510364	0.3 (Unreliable)
	"Arizona"	"04"	"2004"	"2004"	"Unintentional"	"1"	14	5652404	0.2 (Unreliable)
	"Arizona"	"04"	"2004"	"2004"	"Suicide"	"2"	509	5652404	9.0
	"Arizona"	"04"	"2004"	"2004"	"Homicide"	"3"	342	5652404	6.1
	"Arizona"	"04"	"2004"	"2004"	"Undetermined "	"4"	14	5652404	0.2 (Unreliable)
	"Arizona"	"04"	"2005"	"2005"	"Unintentional"	"1"	15	5839077	0.3 (Unreliable)
	"Arizona"	"04"	"2005"	"2005"	"Suicide"	"2"	514	5839077	8.8
	"Arizona"	"04"	"2005"	"2005"	"Homicide"	"3"	377	5839077	6.5
	"Arizona"	"04"	"2005"	"2005"	"Undetermined "	"4"	21	5839077	0.4
	"Arizona"	"04"	"2006"	"2006"	"Suicide"	"2"	563	6029141	9.3
	"Arizona"	"04"	"2006"	"2006"	"Homicide"	"3"	387	6029141	6.4
	"Arizona"	"04"	"2006"	"2006"	"Undetermined "	"4"	14	6029141	0.2 (Unreliable)
	"Arizona"	"04"	"2007"	"2007"	"Unintentional"	"1"	14	6167681	0.2 (Unreliable)
	"Arizona"	"04"	"2007"	"2007"	"Suicide"	"2"	552	6167681	8.9
	"Arizona"	"04"	"2007"	"2007"	"Homicide"	"3"	354	6167681	5.7
	"Arizona"	"04"	"2007"	"2007"	"Undetermined "	"4"	17	6167681	0.3 (Unreliable)
	"Arizona"	"04"	"2008"	"2008"	"Unintentional"	"1"	11	6280362	0.2 (Unreliable)
	"Arizona"	"04"	"2008"	"2008"	"Suicide"	"2"	540	6280362	8.6
	"Arizona"	"04"	"2008"	"2008"	"Homicide"	"3"	333	6280362	5.3
	"Arizona"	"04"	"2008"	"2008"	"Undetermined "	"4"	14	6280362	0.2 (Unreliable)
	"Arizona"	"04"	"2009"	"2009"	"Suicide"	"2"	605	6343154	9.5
	"Arizona"	"04"	"2009"	"2009"	"Homicide"	"3"	228	6343154	3.6
	"Arizona"	"04"	"2010"	"2010"	"Unintentional"	"1"	12	6392017	0.2 (Unreliable)
	"Arizona"	"04"	"2010"	"2010"	"Suicide"	"2"	620	6392017	9.7
	"Arizona"	"04"	"2010"	"2010"	"Homicide"	"3"	271	6392017	4.2
	"Arizona"	"04"	"2010"	"2010"	"Undetermined "	"4"	16	6392017	0.3 (Unreliable)
	"Arizona"	"04"	"2011"	"2011"	"Suicide"	"2"	674	6467163	10.4
	"Arizona"	"04"	"2011"	"2011"	"Homicide"	"3"	259	6467163	4.0
	"Arizona"	"04"	"2011"	"2011"	"Undetermined "	"4"	12	6467163	0.2 (Unreliable)
	"Arizona"	"04"	"2012"	"2012"	"Suicide"	"2"	663	6549634	10.1
	"Arizona"	"04"	"2012"	"2012"	"Homicide"	"3"	254	6549634	3.9
	"Arizona"	"04"	"2012"	"2012"	"Undetermined "	"4"	11	6549634	0.2 (Unreliable)
	"Arizona"	"04"	"2013"	"2013"	"Suicide"	"2"	655	6624617	9.9
	"Arizona"	"04"	"2013"	"2013"	"Homicide"	"3"	251	6624617	3.8
	"Arizona"	"04"	"2013"	"2013"	"Undetermined "	"4"	15	6624617	0.2 (Unreliable)
	"Arizona"	"04"	"2014"	"2014"	"Suicide"	"2"	683	6719993	10.2
	"Arizona"	"04"	"2014"	"2014"	"Homicide"	"3"	212	6719993	3.2
	"Arizona"	"04"	"2014"	"2014"	"Undetermined "	"4"	12	6719993	0.2 (Unreliable)
	"Arizona"	"04"	"2015"	"2015"	"Suicide"	"2"	707	6817565	10.4
	"Arizona"	"04"	"2015"	"2015"	"Homicide"	"3"	236	6817565	3.5
	"Arizona"	"04"	"2015"	"2015"	"Undetermined "	"4"	10	6817565	0.1 (Unreliable)
	"Arizona"	"04"	"2016"	"2016"	"Suicide"	"2"	755	6931071	10.9
	"Arizona"	"04"	"2016"	"2016"	"Homicide"	"3"	303	6931071	4.4
	"Arizona"	"04"	"2016"	"2016"	"Undetermined "	"4"	15	6931071	0.2 (Unreliable)
	"Arkansas"	"05"	"1999"	"1999"	"Unintentional"	"1"	24	2651860	0.9
	"Arkansas"	"05"	"1999"	"1999"	"Suicide"	"2"	234	2651860	8.8
	"Arkansas"	"05"	"1999"	"1999"	"Homicide"	"3"	118	2651860	4.4
	"Arkansas"	"05"	"2000"	"2000"	"Unintentional"	"1"	19	2673400	0.7 (Unreliable)
	"Arkansas"	"05"	"2000"	"2000"	"Suicide"	"2"	244	2673400	9.1
	"Arkansas"	"05"	"2000"	"2000"	"Homicide"	"3"	140	2673400	5.2
	"Arkansas"	"05"	"2001"	"2001"	"Unintentional"	"1"	19	2691571	0.7 (Unreliable)
	"Arkansas"	"05"	"2001"	"2001"	"Suicide"	"2"	274	2691571	10.2
	"Arkansas"	"05"	"2001"	"2001"	"Homicide"	"3"	110	2691571	4.1
	"Arkansas"	"05"	"2002"	"2002"	"Unintentional"	"1"	22	2705927	0.8
	"Arkansas"	"05"	"2002"	"2002"	"Suicide"	"2"	257	2705927	9.5
	"Arkansas"	"05"	"2002"	"2002"	"Homicide"	"3"	146	2705927	5.4
	"Arkansas"	"05"	"2002"	"2002"	"Undetermined "	"4"	13	2705927	0.5 (Unreliable)
	"Arkansas"	"05"	"2003"	"2003"	"Unintentional"	"1"	18	2724816	0.7 (Unreliable)
	"Arkansas"	"05"	"2003"	"2003"	"Suicide"	"2"	258	2724816	9.5
	"Arkansas"	"05"	"2003"	"2003"	"Homicide"	"3"	123	2724816	4.5
	"Arkansas"	"05"	"2004"	"2004"	"Unintentional"	"1"	16	2749686	0.6 (Unreliable)
	"Arkansas"	"05"	"2004"	"2004"	"Suicide"	"2"	232	2749686	8.4
	"Arkansas"	"05"	"2004"	"2004"	"Homicide"	"3"	141	2749686	5.1
	"Arkansas"	"05"	"2004"	"2004"	"Undetermined "	"4"	11	2749686	0.4 (Unreliable)
	"Arkansas"	"05"	"2005"	"2005"	"Unintentional"	"1"	14	2781097	0.5 (Unreliable)
	"Arkansas"	"05"	"2005"	"2005"	"Suicide"	"2"	262	2781097	9.4
	"Arkansas"	"05"	"2005"	"2005"	"Homicide"	"3"	154	2781097	5.5
	"Arkansas"	"05"	"2006"	"2006"	"Unintentional"	"1"	12	2821761	0.4 (Unreliable)
	"Arkansas"	"05"	"2006"	"2006"	"Suicide"	"2"	247	2821761	8.8
	"Arkansas"	"05"	"2006"	"2006"	"Homicide"	"3"	155	2821761	5.5
	"Arkansas"	"05"	"2006"	"2006"	"Undetermined "	"4"	10	2821761	0.4 (Unreliable)
	"Arkansas"	"05"	"2007"	"2007"	"Unintentional"	"1"	21	2848650	0.7
	"Arkansas"	"05"	"2007"	"2007"	"Suicide"	"2"	244	2848650	8.6
	"Arkansas"	"05"	"2007"	"2007"	"Homicide"	"3"	153	2848650	5.4
	"Arkansas"	"05"	"2008"	"2008"	"Unintentional"	"1"	17	2874554	0.6 (Unreliable)
	"Arkansas"	"05"	"2008"	"2008"	"Suicide"	"2"	275	2874554	9.6
	"Arkansas"	"05"	"2008"	"2008"	"Homicide"	"3"	145	2874554	5.0
	"Arkansas"	"05"	"2009"	"2009"	"Unintentional"	"1"	14	2896843	0.5 (Unreliable)
	"Arkansas"	"05"	"2009"	"2009"	"Suicide"	"2"	285	2896843	9.8
	"Arkansas"	"05"	"2009"	"2009"	"Homicide"	"3"	157	2896843	5.4
	"Arkansas"	"05"	"2010"	"2010"	"Unintentional"	"1"	14	2915918	0.5 (Unreliable)
	"Arkansas"	"05"	"2010"	"2010"	"Suicide"	"2"	266	2915918	9.1
	"Arkansas"	"05"	"2010"	"2010"	"Homicide"	"3"	132	2915918	4.5
	"Arkansas"	"05"	"2011"	"2011"	"Unintentional"	"1"	11	2939493	0.4 (Unreliable)
	"Arkansas"	"05"	"2011"	"2011"	"Suicide"	"2"	299	2939493	10.2
	"Arkansas"	"05"	"2011"	"2011"	"Homicide"	"3"	145	2939493	4.9
	"Arkansas"	"05"	"2012"	"2012"	"Unintentional"	"1"	10	2950685	0.3 (Unreliable)
	"Arkansas"	"05"	"2012"	"2012"	"Suicide"	"2"	307	2950685	10.4
	"Arkansas"	"05"	"2012"	"2012"	"Homicide"	"3"	166	2950685	5.6
	"Arkansas"	"05"	"2013"	"2013"	"Unintentional"	"1"	15	2958663	0.5 (Unreliable)
	"Arkansas"	"05"	"2013"	"2013"	"Suicide"	"2"	322	2958663	10.9
	"Arkansas"	"05"	"2013"	"2013"	"Homicide"	"3"	152	2958663	5.1
	"Arkansas"	"05"	"2013"	"2013"	"Undetermined "	"4"	10	2958663	0.3 (Unreliable)
	"Arkansas"	"05"	"2014"	"2014"	"Suicide"	"2"	323	2966912	10.9
	"Arkansas"	"05"	"2014"	"2014"	"Homicide"	"3"	161	2966912	5.4
	"Arkansas"	"05"	"2015"	"2015"	"Unintentional"	"1"	17	2977853	0.6 (Unreliable)
	"Arkansas"	"05"	"2015"	"2015"	"Suicide"	"2"	342	2977853	11.5
	"Arkansas"	"05"	"2015"	"2015"	"Homicide"	"3"	155	2977853	5.2
	"Arkansas"	"05"	"2016"	"2016"	"Unintentional"	"1"	11	2988248	0.4 (Unreliable)
	"Arkansas"	"05"	"2016"	"2016"	"Suicide"	"2"	331	2988248	11.1
	"Arkansas"	"05"	"2016"	"2016"	"Homicide"	"3"	182	2988248	6.1
	"Arkansas"	"05"	"2016"	"2016"	"Undetermined "	"4"	11	2988248	0.4 (Unreliable)
	"California"	"06"	"1999"	"1999"	"Unintentional"	"1"	47	33499204	0.1
	"California"	"06"	"1999"	"1999"	"Suicide"	"2"	1532	33499204	4.6
	"California"	"06"	"1999"	"1999"	"Homicide"	"3"	1380	33499204	4.1
	"California"	"06"	"1999"	"1999"	"Undetermined "	"4"	31	33499204	0.1
	"California"	"06"	"2000"	"2000"	"Unintentional"	"1"	66	33871648	0.2
	"California"	"06"	"2000"	"2000"	"Suicide"	"2"	1487	33871648	4.4
	"California"	"06"	"2000"	"2000"	"Homicide"	"3"	1483	33871648	4.4
	"California"	"06"	"2000"	"2000"	"Undetermined "	"4"	10	33871648	0.0 (Unreliable)
	"California"	"06"	"2001"	"2001"	"Unintentional"	"1"	97	34479458	0.3
	"California"	"06"	"2001"	"2001"	"Suicide"	"2"	1450	34479458	4.2
	"California"	"06"	"2001"	"2001"	"Homicide"	"3"	1589	34479458	4.6
	"California"	"06"	"2002"	"2002"	"Unintentional"	"1"	44	34871843	0.1
	"California"	"06"	"2002"	"2002"	"Suicide"	"2"	1490	34871843	4.3
	"California"	"06"	"2002"	"2002"	"Homicide"	"3"	1810	34871843	5.2
	"California"	"06"	"2002"	"2002"	"Undetermined "	"4"	16	34871843	0.0 (Unreliable)
	"California"	"06"	"2003"	"2003"	"Unintentional"	"1"	68	35253159	0.2
	"California"	"06"	"2003"	"2003"	"Suicide"	"2"	1505	35253159	4.3
	"California"	"06"	"2003"	"2003"	"Homicide"	"3"	1782	35253159	5.1
	"California"	"06"	"2003"	"2003"	"Undetermined "	"4"	33	35253159	0.1
	"California"	"06"	"2004"	"2004"	"Unintentional"	"1"	50	35574576	0.1
	"California"	"06"	"2004"	"2004"	"Suicide"	"2"	1366	35574576	3.8
	"California"	"06"	"2004"	"2004"	"Homicide"	"3"	1808	35574576	5.1
	"California"	"06"	"2004"	"2004"	"Undetermined "	"4"	16	35574576	0.0 (Unreliable)
	"California"	"06"	"2005"	"2005"	"Unintentional"	"1"	146	35827943	0.4
	"California"	"06"	"2005"	"2005"	"Suicide"	"2"	1329	35827943	3.7
	"California"	"06"	"2005"	"2005"	"Homicide"	"3"	1878	35827943	5.2
	"California"	"06"	"2005"	"2005"	"Undetermined "	"4"	15	35827943	0.0 (Unreliable)
	"California"	"06"	"2006"	"2006"	"Unintentional"	"1"	68	36021202	0.2
	"California"	"06"	"2006"	"2006"	"Suicide"	"2"	1319	36021202	3.7
	"California"	"06"	"2006"	"2006"	"Homicide"	"3"	1883	36021202	5.2
	"California"	"06"	"2007"	"2007"	"Unintentional"	"1"	43	36250311	0.1
	"California"	"06"	"2007"	"2007"	"Suicide"	"2"	1422	36250311	3.9
	"California"	"06"	"2007"	"2007"	"Homicide"	"3"	1701	36250311	4.7
	"California"	"06"	"2007"	"2007"	"Undetermined "	"4"	22	36250311	0.1
	"California"	"06"	"2008"	"2008"	"Unintentional"	"1"	37	36604337	0.1
	"California"	"06"	"2008"	"2008"	"Suicide"	"2"	1478	36604337	4.0
	"California"	"06"	"2008"	"2008"	"Homicide"	"3"	1569	36604337	4.3
	"California"	"06"	"2008"	"2008"	"Undetermined "	"4"	17	36604337	0.0 (Unreliable)
	"California"	"06"	"2009"	"2009"	"Unintentional"	"1"	31	36961229	0.1
	"California"	"06"	"2009"	"2009"	"Suicide"	"2"	1519	36961229	4.1
	"California"	"06"	"2009"	"2009"	"Homicide"	"3"	1460	36961229	4.0
	"California"	"06"	"2009"	"2009"	"Undetermined "	"4"	17	36961229	0.0 (Unreliable)
	"California"	"06"	"2010"	"2010"	"Unintentional"	"1"	24	37253956	0.1
	"California"	"06"	"2010"	"2010"	"Suicide"	"2"	1492	37253956	4.0
	"California"	"06"	"2010"	"2010"	"Homicide"	"3"	1342	37253956	3.6
	"California"	"06"	"2010"	"2010"	"Undetermined "	"4"	13	37253956	0.0 (Unreliable)
	"California"	"06"	"2011"	"2011"	"Unintentional"	"1"	26	37676861	0.1
	"California"	"06"	"2011"	"2011"	"Suicide"	"2"	1564	37676861	4.2
	"California"	"06"	"2011"	"2011"	"Homicide"	"3"	1314	37676861	3.5
	"California"	"06"	"2011"	"2011"	"Undetermined "	"4"	17	37676861	0.0 (Unreliable)
	"California"	"06"	"2012"	"2012"	"Unintentional"	"1"	30	38011074	0.1
	"California"	"06"	"2012"	"2012"	"Suicide"	"2"	1549	38011074	4.1
	"California"	"06"	"2012"	"2012"	"Homicide"	"3"	1362	38011074	3.6
	"California"	"06"	"2012"	"2012"	"Undetermined "	"4"	15	38011074	0.0 (Unreliable)
	"California"	"06"	"2013"	"2013"	"Unintentional"	"1"	35	38335203	0.1
	"California"	"06"	"2013"	"2013"	"Suicide"	"2"	1571	38335203	4.1
	"California"	"06"	"2013"	"2013"	"Homicide"	"3"	1312	38335203	3.4
	"California"	"06"	"2013"	"2013"	"Undetermined "	"4"	11	38335203	0.0 (Unreliable)
	"California"	"06"	"2014"	"2014"	"Unintentional"	"1"	23	38680810	0.1
	"California"	"06"	"2014"	"2014"	"Suicide"	"2"	1582	38680810	4.1
	"California"	"06"	"2014"	"2014"	"Homicide"	"3"	1233	38680810	3.2
	"California"	"06"	"2014"	"2014"	"Undetermined "	"4"	15	38680810	0.0 (Unreliable)
	"California"	"06"	"2015"	"2015"	"Unintentional"	"1"	29	38993940	0.1
	"California"	"06"	"2015"	"2015"	"Suicide"	"2"	1559	38993940	4.0
	"California"	"06"	"2015"	"2015"	"Homicide"	"3"	1396	38993940	3.6
	"California"	"06"	"2016"	"2016"	"Unintentional"	"1"	36	39250017	0.1
	"California"	"06"	"2016"	"2016"	"Suicide"	"2"	1595	39250017	4.1
	"California"	"06"	"2016"	"2016"	"Homicide"	"3"	1467	39250017	3.7
	"California"	"06"	"2016"	"2016"	"Undetermined "	"4"	12	39250017	0.0 (Unreliable)
	"Colorado"	"08"	"1999"	"1999"	"Suicide"	"2"	309	4226018	7.3
	"Colorado"	"08"	"1999"	"1999"	"Homicide"	"3"	121	4226018	2.9
	"Colorado"	"08"	"2000"	"2000"	"Suicide"	"2"	350	4301261	8.1
	"Colorado"	"08"	"2000"	"2000"	"Homicide"	"3"	84	4301261	2.0
	"Colorado"	"08"	"2001"	"2001"	"Unintentional"	"1"	10	4425687	0.2 (Unreliable)
	"Colorado"	"08"	"2001"	"2001"	"Suicide"	"2"	390	4425687	8.8
	"Colorado"	"08"	"2001"	"2001"	"Homicide"	"3"	98	4425687	2.2
	"Colorado"	"08"	"2002"	"2002"	"Suicide"	"2"	380	4490406	8.5
	"Colorado"	"08"	"2002"	"2002"	"Homicide"	"3"	116	4490406	2.6
	"Colorado"	"08"	"2003"	"2003"	"Suicide"	"2"	363	4528732	8.0
	"Colorado"	"08"	"2003"	"2003"	"Homicide"	"3"	117	4528732	2.6
	"Colorado"	"08"	"2004"	"2004"	"Suicide"	"2"	402	4575013	8.8
	"Colorado"	"08"	"2004"	"2004"	"Homicide"	"3"	131	4575013	2.9
	"Colorado"	"08"	"2005"	"2005"	"Suicide"	"2"	396	4631888	8.5
	"Colorado"	"08"	"2005"	"2005"	"Homicide"	"3"	115	4631888	2.5
	"Colorado"	"08"	"2006"	"2006"	"Suicide"	"2"	371	4720423	7.9
	"Colorado"	"08"	"2006"	"2006"	"Homicide"	"3"	104	4720423	2.2
	"Colorado"	"08"	"2007"	"2007"	"Suicide"	"2"	396	4803868	8.2
	"Colorado"	"08"	"2007"	"2007"	"Homicide"	"3"	91	4803868	1.9
	"Colorado"	"08"	"2008"	"2008"	"Suicide"	"2"	387	4889730	7.9
	"Colorado"	"08"	"2008"	"2008"	"Homicide"	"3"	109	4889730	2.2
	"Colorado"	"08"	"2009"	"2009"	"Suicide"	"2"	454	4972195	9.1
	"Colorado"	"08"	"2009"	"2009"	"Homicide"	"3"	108	4972195	2.2
	"Colorado"	"08"	"2010"	"2010"	"Suicide"	"2"	427	5029196	8.5
	"Colorado"	"08"	"2010"	"2010"	"Homicide"	"3"	97	5029196	1.9
	"Colorado"	"08"	"2011"	"2011"	"Unintentional"	"1"	12	5118360	0.2 (Unreliable)
	"Colorado"	"08"	"2011"	"2011"	"Suicide"	"2"	443	5118360	8.7
	"Colorado"	"08"	"2011"	"2011"	"Homicide"	"3"	101	5118360	2.0
